gene_id	RCC_115	RCC_90	RCC_41	RCC_73	RCC_105	PD_007T	PD_011T	PD_012T	PD_018T	PD_019T	PD_020T	PD_022T	PD_024T	PD_026T	RCC_14	RCC_93	RCC_96	RCC_102	RCC_117	RCC_106	RCC_18	RCC_21	RCC_50	RCC_27	PD_005T	PD_010T	PD_013T	PD_014T	PD_015T	PD_021T	PD_023T	PD_025T	RCC_99
HECW1	0.22	6.38	0.04	0	3.42	2.16	0.18	0.75	0.51	2.04	2.56	0.93	0.65	0.03	0.18	4.55	0.13	0	0	0.37	0.22	0.28	2.27	0.13	0.52	1.68	0.33	0.68	5.12	0.24	0.55	0.69	4.1
MAD1L1	11.11	2.88	7.1	13.48	6.82	8.27	11.8	6.89	5.76	7.96	5.57	4.7	16.29	11.3	9.53	10.31	8.18	37.29	23.14	5.01	3.93	7.89	10.65	9.79	8.24	6.42	4.31	7.77	9.78	8.08	8.19	8.18	9.5
LASP1	93.07	1.33	56.43	67.13	62.85	59.91	64.75	55.87	60.04	43.12	33.24	58.29	83.19	40.06	53.41	71.89	70.01	68.43	67.73	83.32	30.07	69.96	67.94	97.84	48.72	50.03	47.44	61.52	60.71	69.67	65.43	62.67	26.28
SNX11	14.09	10.64	24.11	17.17	14.73	9.21	15	9.59	8.51	7.91	7.45	7.93	17.47	18.03	12.6	27.11	16.09	16.84	30.89	19.4	7.11	18.83	16.16	24.62	11.37	6.47	5.01	5.83	9.53	17.06	10.74	11.82	9.5
TMEM176A	522.01	12.9	421.44	131.2	142.42	69.1	232.65	107.59	266.42	9.46	28.65	197.15	215.67	11.32	181.5	90.71	496.85	800.52	372.74	221.29	359.59	30.5	290.98	394.57	231.65	64.99	128.01	149.13	152.92	295.54	58.11	187.33	496.41
M6PR	107.41	27.32	139.09	44.98	80.82	55.81	103.4	68.03	69.74	56.54	48.19	61.12	108.32	67.98	90.09	111.01	125.55	39.33	70.59	139.32	26.64	96.16	98.29	104.62	42.57	30.52	60.47	130.98	78.9	113.04	54.05	70.64	65.04
KLHL13	16.37	4.11	19.4	1.04	6.22	0.71	2.49	3.25	3.73	0.85	0.1	3.34	1.7	13.49	5.03	1.93	8.41	1.44	2	5.03	1.69	2.52	2.52	15.88	2.89	1.46	1.42	1.64	2.19	9.69	1.55	2.01	0.97
CYP26B1	1	0	0	3.29	0.76	1.61	2.13	1.43	1.6	0.14	1.89	0.54	0.76	1.31	0	0.32	2.77	0.49	0.81	1.49	0.1	1.37	1.39	1.15	0.2	1.12	0.14	0.75	0.97	2.81	0.92	1.19	0.89
ICA1	6.74	0.9	0.62	5.98	6.27	6.1	14.73	5.78	8.73	7.94	4.15	3.27	8.6	3.68	3.12	4.14	5.67	5.52	9.1	20.85	2.96	5.21	4.87	3.94	1.54	5.4	4.7	5.31	3.62	3.13	8.86	4.61	0.29
DBNDD1	22.89	0.15	1.65	4.29	15.48	1.23	1.44	0.26	1.03	1.6	0.07	1.49	0.83	1.76	1.11	0.67	5.26	19.61	1.14	2.76	0.94	3.67	2.95	2.68	2.34	0.98	0.4	0.33	1.31	1.35	0.22	0.22	6.38
ALS2	12.39	1.36	11.21	4.06	4.05	25.77	17.11	30.03	22.47	14.75	15.55	14.62	27.49	39.74	2.35	7.1	12.23	1.87	2.74	8.17	4.4	5.32	2.28	17.1	5.26	5.49	14.45	18.93	20.82	53.57	11.45	15.64	2.97
CASP10	6.28	1.66	15.29	4.45	3.4	9.71	10.71	6.4	10.25	5.19	12.96	5.69	12.47	10.78	5	4.35	6.85	4.49	6.1	9.16	1.68	1.48	3.65	11.12	7.05	4.7	9.45	8.41	12.18	14.75	10.2	10.23	4.38
CFLAR	73.39	82.42	90.54	26.66	34.41	75.93	263.95	101.05	209.81	102.21	101.42	116.38	376.66	132.84	23.67	80.39	58.57	31.08	51.16	96.04	16.43	201.65	66.34	66.01	70.41	52.39	101.11	172.76	114.33	191.03	154.69	156.37	47.67
TFPI	111.8	80.59	102.09	18.47	98.05	62.08	58.46	88.7	31.31	61.23	90.14	89.29	53.68	3.54	88.1	160.9	35.94	66.24	44.18	150.32	121.34	730.95	21.99	147.17	42.05	2.92	68.82	82.47	75.27	123.13	48.58	90.93	1366.91
NDUFAF7	8.91	5.85	4.44	6.26	6.87	16.48	20.76	11.56	19.41	11.01	7.09	15.28	23.37	13.92	7.45	5.17	11.94	5.95	5.11	7.2	4.04	4.73	1.68	7.03	12.45	10.34	7.7	19.44	15.65	29.08	12.16	15.45	8.4
RBM5	38.28	5.63	18.6	22.37	19.48	82.18	123.13	91.4	84.3	70.49	64.02	59.47	215.99	182.41	13.63	17.53	80.84	28.34	53.4	85.67	10.93	19.82	14	25.6	43.22	55.82	90.51	134.08	79.76	98.4	116.28	93.99	23.7
MTMR7	0.13	0.15	0.23	0.44	0.33	0.95	0.17	3.08	0.4	0.73	0.13	0.4	0.77	1.17	0	0.37	0	0.67	1.34	0.59	0	0	1.78	1	0.74	0.5	0.97	4.2	0.7	0.65	1.76	0.6	0.2
SLC7A2	1.78	0.47	2.05	2.47	0.92	20.67	12.17	129.76	2.75	59.64	6.89	26.28	3.19	20.07	0.46	6.23	33.4	0.65	0.42	8.28	18.98	1.47	11.39	76.36	23.17	4.08	22.43	18.81	15.67	101.2	15.6	259.64	1.6
ARF5	197.15	67.33	104.75	187.82	113.23	57.1	54.54	39.07	29.93	37.29	17.64	62.56	45.79	47.85	54.21	145.43	103.94	212.89	200.74	113.62	72.22	106.17	127.14	137.73	51.94	37.17	44.27	58.53	45.54	56.44	62.44	58.63	133.74
SARM1	7.85	0.07	9.64	10.98	9.66	12.39	15	5.28	7.51	11.03	6.36	6.57	9.17	8.99	2.59	1	18.08	7.16	8.34	4.81	2.67	2.72	4.38	10.19	7.67	8.36	5.16	9.18	6.13	12.17	6.86	6.71	1.41
POLDIP2	64.68	12.87	52.4	42.65	101.58	23.33	23.75	19.47	28.8	15.22	15.3	18.47	21.61	27.97	38.88	29.56	64.43	57.2	91.88	37.24	48.28	52.68	43.11	63.85	29.19	9.31	12.29	15.39	24.91	34.8	10.23	18.86	67.6
PLXND1	67.18	4.13	32.79	153.85	29.55	411.89	53.22	67.11	39.59	38.13	18.4	56.31	58.49	51.63	24.25	118.74	96.75	195.88	58.21	232.18	64.12	61.23	114.11	159.92	21.59	26.63	75.34	84.69	40.58	24.53	113.29	99.98	18.38
AK2	101.63	219.98	147.38	98.88	98.01	120.37	106.7	83.66	97.07	59.28	33.77	84.88	64.06	56.4	117.26	109.03	115.54	123.73	113.07	156.84	73.95	106.17	74.18	130.84	124.19	58.74	50.63	88.95	89.55	223.99	67.26	85.08	210.99
CD38	2.58	1.45	14.71	0.1	1.57	3.72	11.51	2.74	6.38	3.57	62.07	3.22	55.51	0.87	8.37	14.24	1.44	0.5	6.78	0.64	1.64	5.11	19.98	0.91	3.9	4.26	3.37	6.69	1.08	11.08	2.72	7.34	5.62
FKBP4	57.24	6.04	47.7	40.51	39.6	21.21	21.18	23.09	18.3	14.85	11.5	21.02	13.53	35.64	30.88	47.91	50.77	52.29	63.08	49.11	18.75	36.59	33.99	53.17	18.26	25.9	22.81	28.79	33.01	42.44	14.77	18.56	63.23
KDM1A	18.12	2.51	21.97	17.06	33.17	43.61	26.24	18.65	26.75	17.02	10.52	28.82	25.17	29.12	6.17	24.59	17.81	15.53	18.41	28.26	8.97	18.75	15.92	17.4	21.29	18.16	17.21	25.25	24.28	41.13	25.71	21.53	8.48
RBM6	27.26	5.2	7.53	16.18	8.62	98.55	124.13	91.05	54.32	55.83	73.29	55.82	123.06	172.25	9.34	13.9	39.98	15.75	36.68	67.86	6.68	11.05	8.01	14.18	25.28	55.65	65.41	95.93	64.43	62.14	129.4	83.1	7.77
CAMKK1	2.17	0.24	0.65	1.75	0.72	1.91	1.8	2.35	2.68	0.89	0.4	0.91	1.41	1.06	1.42	4.04	6.95	3.1	3.92	9.48	0.22	1.99	2.09	6.88	1.47	1.99	0.62	1.88	0.48	1.06	2.65	2.53	0.66
RECQL	33.66	4.95	36.67	13.18	28.42	24.15	35.8	16.48	18.39	18.05	9.32	14.9	23.22	18.07	9.35	43.48	51.89	4.01	14.24	51.39	14.82	24.62	10.5	57.05	16.84	9.01	15.3	22.47	19.98	30.99	19.97	17.64	45.85
CCDC132	18.58	2.6	12.73	6.24	10.38	15.91	17.1	10.89	17.97	17.37	8.91	8.12	15.58	22.72	3.44	11.87	13.89	4.3	7.11	14.05	4.96	6.03	5.88	44.27	16.62	7.46	8.56	18.15	19.63	31.44	14.35	20.27	10.56
HSPB6	3.22	0	0	16.79	4.43	2.05	0.77	0.21	0.49	0.51	0.09	1.18	0.29	0.14	0	5.74	7.16	16.04	14.6	11.02	3.68	2.02	4.06	6.23	0.12	0.13	0.36	0.54	0.63	0.38	0.69	1.85	0
ARHGAP33	2.11	0	1.32	1.99	0	13.86	8.06	5.58	6.86	4.19	0.99	2.13	11.15	10.31	2.2	1.68	8.95	1.22	7.29	4.82	0.13	2.51	0.31	2.65	1.53	5.74	3.08	7.45	3.95	9.83	8.38	6.15	0.66
NDUFAB1	130.88	416.72	96.79	116.19	149.15	23.28	28.14	28.15	24.82	24.47	24	26.61	20.51	27.21	74.87	67.24	146.23	165.93	212.87	69.88	92.81	88.64	146.82	138.49	44.8	12.06	26.97	17.05	40.22	53.25	18.78	17.07	152.98
PDK4	14.62	13.68	303.66	38.03	12.6	9.93	57.84	63.68	89.76	15.29	2.11	187.72	5.77	7.05	57.89	12.66	6.02	19.73	10.94	78.96	57.76	12.2	14.34	76.83	120.62	5.33	38.13	119.71	250.29	446.67	289.34	74.64	1.19
SLC22A16	0.32	0	0	0.34	0	0.23	0.09	0.2	0	0	0.32	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0.12	0.43	0.02	0.63	0	0.12	0.11	0.08	0
ZMYND10	9.73	1.15	7.36	3.27	41.62	1.16	2.43	0.09	0.81	0.6	0.27	0.11	2.78	0.94	1.86	0	3.72	12.46	19.89	3.27	0.25	4.9	6.77	0	0.47	0.38	0.29	0.77	1.12	1.05	0.52	0.61	0.47
ABCB5	0	0	0	0	0	0.16	0.04	274.85	0.5	0.17	0	0.07	0.09	0.09	0	0	0.3	0.07	0	2.66	0	0.24	0	1.83	0.19	0.06	0.61	0.21	0.7	144.25	0.1	1.03	0.29
ARX	0	0.5	1.13	0.2	0.46	0.35	0.16	0	0.11	0	0.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.03	0	0	0.17	0.74	0	0.07	0
SLC25A13	20.06	2.65	14.5	10.77	12.85	20.63	30.33	26.23	27.05	22.62	9.95	20.33	16.83	21.38	8.42	21.88	23.43	6.52	11.67	13.75	39.87	13.99	10.24	25.99	21.97	9.93	19.95	19.87	46.09	53.26	24.74	23.37	16.81
ST7	20.11	3.93	37.52	14.29	8.62	11.54	16.61	20.4	18.75	8.28	8.55	16.29	22.79	41.51	8.2	15.64	40.99	10.16	14.13	17.11	12.82	10.79	8.17	22.98	24.31	10.39	16.46	16.36	22.58	48.51	12.1	23.95	10.02
CDC27	26.87	1.98	17.35	24.08	13.25	39.21	26.45	30.28	21.2	17.7	11.98	19.69	23.61	37.29	14.63	21.21	30.69	14.5	15.75	36.45	13.1	29.19	15.42	32.77	23.05	11.83	15.66	19.7	21.42	33.97	18.11	19.65	28.33
SLC4A1	0.3	0.16	0	0	0	0	1.44	0.08	0.2	0.02	0.13	0.51	0.1	112.18	3.89	0.15	0	0.37	0	0	0.22	0	0	0.25	0.01	0.76	0.57	0.03	0.23	0.02	0	0.18	5.06
CALCR	0.46	0.16	0.25	0.47	0.57	0.2	4.53	3.35	0.35	0.08	0.06	10.23	0.07	0.1	0.1	0.69	0.7	0	0.15	1.29	0	0.84	4.37	0	0.26	0.07	3.52	3.25	1.4	0.18	0.88	0.26	0.61
HCCS	13.62	12.68	13.36	13.01	12.99	18.68	11.51	33.27	28.06	11.4	14.17	15.37	17.62	35.85	12.52	26.97	17.14	10.67	15.2	18.19	7.31	21.27	10.43	24.61	25.01	5.11	17.63	15.19	13.85	32.45	10.58	17.58	18.4
DVL2	23.52	2.48	5.21	11.54	9.54	8.38	6.92	4.03	6.63	7.98	2.57	2.78	10.82	9.47	4.47	9.5	27.4	10.99	11.71	18.21	2.21	14.1	9.36	14.63	3.16	2.81	3.04	6.05	8.97	7.24	6.16	7.43	15.46
PRSS22	0	0	0	0	0	0	0.28	0.04	0	0	0	0.02	0	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	1.65	0.22	0
UPF1	10.78	1.02	9.3	19.91	10.62	19.33	39.95	17.38	27.42	12.95	15.46	16.66	28.39	30.69	9.35	11.01	33.25	29.17	26.02	19.44	5.55	14.91	11.31	15.55	15.41	13.63	12.74	21.96	21.4	25.67	14.34	22.92	5.9
SKAP2	52.24	11.08	38.1	15.61	33.9	38.35	43.39	37.19	49.04	51.29	14.62	43.85	27.78	33.52	13.49	33.91	50.91	5.01	15.58	32.86	6.99	32.28	23.27	36.71	52.74	18.32	34.02	27.73	65.74	100.46	22.17	58.51	6.77
SLC25A5	187.76	273.53	209.09	250.44	187.67	42.86	60.33	114.22	142.13	46.04	56.76	47.93	63.18	225.08	182.87	230.72	273.44	113.75	226.51	164.62	171.9	142.49	246.35	251.45	117.05	23.89	54.74	46.14	75.19	110.69	52.06	68.84	321.39
CCDC109B	6.57	22.31	7.2	40.31	4.99	7.37	5.3	3.6	7.65	7.35	7.07	6.74	8.35	2.86	5.7	7.57	8.01	4.21	7.77	7.46	0.55	13.82	12.28	8.06	10.05	2.32	3.69	4.13	2.43	11.79	3.76	7.26	3.26
HOXA11	2.88	0	0	10.51	0	1.14	0.02	0.45	0.28	0.02	0.47	0.65	0.16	0.76	0	0.33	0.96	0	0	1.53	0.2	0	0	0	0.01	0.04	0.11	0.77	0.42	0.16	0.62	0.65	2.19
POLR2J	53.89	130.48	60.2	78.72	80.13	36.5	30.4	46.29	67.7	35.31	34.18	46.09	50.2	47.85	57.24	63.28	60.26	121.5	109.3	50.1	41.07	81.66	122.09	37.97	53.02	21.77	39.55	37.68	104.27	107.37	32.79	41.77	66.72
DHX33	2.87	0.1	3.26	2.31	4.43	7.23	5.85	3.76	4.64	4.47	1.69	2.99	4.93	5.95	0.75	2	8.12	1.85	1.61	6.77	1.01	4.64	0.89	5.31	3.04	1.7	2.36	4.27	3.76	6.69	3.16	4.55	1.99
MEOX1	4.24	0	1.2	4.93	0	0.02	0	0	0	0.01	0	0	0	0	0.36	2.34	6.67	4.86	0.58	7.54	0	1.57	2.59	0	0	0	0	0	0	0.08	0.03	0.04	0
THSD7A	0.71	0.17	2.67	3.21	1.13	2.55	6.43	3.17	6.1	0.54	0.6	3.75	2.61	46.93	0.64	0.68	2.01	0.11	0.24	4.79	0.26	0.33	0.36	3.18	0.99	0.74	0.97	5.61	3.6	3.89	4.66	3.08	0.26
LIG3	6.5	0.45	6.89	3.72	10.74	17.4	28.67	13.73	12.04	16.12	9.77	14.34	29.19	21.43	3.52	6.66	16.29	2.7	8.34	8.52	1.4	9.04	6.39	9.33	14.49	14.83	14.67	18.39	14.23	32.76	15.8	16.39	10.21
RPAP3	12.45	7.17	8.62	9.52	5.06	9.55	8.79	8.37	8.32	4.8	5.8	6.88	7.63	8.22	8.46	8.25	12.38	2.75	10.38	20.63	3.6	10.31	4.61	12.28	6.86	3.66	4.47	5.34	7.15	14.09	4.99	6.29	6.78
ACSM3	22.1	1.58	27.26	4.12	54.55	28.66	23.8	11.98	20.35	4.38	11.12	18.46	63.59	39.26	8.13	3.16	37.76	26.81	38.2	11.84	39.78	3	34.74	14.3	29.75	24.8	22.82	26.06	76.68	71.99	18.02	12.89	16.55
ENSG00000005189	5.33	3.74	2.49	1.7	1.95	6.57	3.28	4.37	2.7	1.94	2.28	2.2	11.44	3.8	1.2	4.96	0.27	2.09	3.8	3.74	0.32	4.89	1.22	0	2.23	2.13	0.89	2.71	4.28	6.95	2.94	3.25	17.08
CIAPIN1	52.28	16.47	28.42	39.85	51.77	33.06	17.7	13.85	17.4	9.43	8.55	9.96	17.82	26.97	19.83	29.37	45.02	32.2	39.37	37.99	15.62	24.17	22.47	53.48	13.58	4.19	5.46	14.28	20.55	23.94	8.51	17.44	29.09
SPPL2B	9.48	0.08	5.38	7.79	6.52	18.66	25.07	13.2	10.33	11.7	9.62	8.18	17.69	17.93	3.85	7.08	28.65	27.62	25.25	15.52	1.6	7.18	5.6	6.98	17.03	9.19	11.85	19.97	23.51	25.03	16.55	14.73	1.89
FAM214B	9.31	1.48	7.48	6.02	6.01	1	1.64	1.51	0.86	4.42	0.97	1.16	2.36	1.79	4.34	9.7	13.6	10.65	16.51	7.23	0.86	21.4	5.37	9.26	1.26	0.41	1.06	1.15	1.32	1.51	1.67	1.41	3.66
COPZ2	32.54	62.92	18.08	29.14	27.65	27.11	7.06	17.1	11.91	11.74	0.76	12.93	1.9	7.1	51.05	74.73	30.53	54.76	24.7	28.04	19.16	14.33	28.39	62.65	8.14	1.81	14.1	9.54	26.35	32.13	8.21	12.13	2.54
PRKAR2B	6.74	0.68	2.53	0.3	2.85	2.83	4.19	1.02	2.05	0.4	1.11	2.12	1.46	0.29	2.6	4.53	1.42	0.63	3.22	6.05	1.04	3.51	1.84	2.4	0.43	1.08	0.64	2.95	0.96	1.27	1.02	1.97	1.02
MSL3	22.77	9.73	12.24	17.91	9.81	15.45	15.54	19.13	12.47	10.34	12.1	9.86	23.06	13.87	11.92	18.1	22.46	10.88	27.69	27.8	5.53	18.75	9.94	34.48	11.14	7.77	11.04	9.03	10.49	25.61	20.65	18.33	7.42
CREBBP	10.8	0.64	6.87	5.61	4	74.22	92.74	42.82	41.88	35.13	33.2	47.46	74.12	65.21	5.34	5.64	19.29	8.64	3.89	7.89	1.91	8.12	3.51	23.82	34.26	32.59	51.22	49.25	66.48	97.86	41.05	53.7	3.61
BZRAP1	3.72	0.21	2.04	3.99	2.89	6.31	11.57	3.02	0.79	1.54	1.59	4.33	13.84	5.44	0.8	2.77	7.68	4.64	11.82	12.55	0.36	1.59	1.58	0	0.49	1.75	1.27	4.3	3.35	6.71	2.12	2.01	3.66
MPO	0.32	0.09	0	0	0	0.05	0.22	0.1	0	0.06	0.04	0.01	0.46	0.01	0.44	0	0	0.25	0	0	0	0	0	0	0.01	0	0.01	0.04	0.09	0.03	0.26	0.05	0
PON1	0	0	0	0	0	0	1.76	0.26	0.22	0	0.71	0.04	3.31	0.07	1.18	9.24	0	0	0.76	0	410.21	2.46	1.94	0	0.26	0.46	0.21	0.34	0.11	0.07	0.16	0.16	32.38
GCFC2	14.51	14.03	7.55	8.59	4.04	15.08	15.84	14.56	12.27	8.36	7.62	13.4	22.47	11.54	5.34	3.15	9.84	15.01	8.62	13.52	7.64	6.55	4.57	13.22	9.69	8.67	5.86	9.36	13.48	26.28	7.7	8.08	10.21
WDR54	16.92	17.66	17.86	31.8	50.96	31.3	27.99	10.31	13.46	19.59	5.16	18.55	22.15	6.69	12.22	12.08	30.06	101.98	85.89	31.8	1.17	35.94	34.34	12.88	27.06	24.77	11.35	18.78	13.8	38.77	14.3	11.39	16.26
CROT	12.91	6.29	5.87	4.66	6.74	5.99	10.6	7.98	7.71	3.88	4.23	6.29	3.44	7.86	1.62	8.87	13.48	5.87	7.81	11.74	10.25	5.89	7.47	5.76	8.35	4.24	4.39	8.58	12.95	16.8	9.54	9.18	1.54
ABCB4	11.71	0.69	1.75	0.9	3.42	6.12	5.5	2.28	3.37	2.69	0.7	1.17	17.09	1.1	0.85	4.44	5.34	0.64	0.7	0.59	15.54	1.09	3.8	1.02	1.04	0.4	3.79	2.06	16.56	10.99	0.94	2.97	0.3
KMT2E	23.17	1.7	18.28	9.68	11.69	54.32	68.82	45.03	76.9	40.32	34.85	56.49	86.57	70.39	13.1	15.55	26.33	3.82	4.62	36.39	4.65	15.53	7.97	17.7	30.5	26.72	39.26	70.83	71.35	122.97	50.97	61.25	10.41
RHBDD2	33.32	10.75	40.14	42.26	28	16.4	24.45	37.03	21.77	14.25	14.48	19.26	17.6	20.54	33.38	32.08	47.68	90.93	83.05	21.59	14.2	55.03	45.65	28.94	19.12	5.68	15.2	26.95	32.14	36.19	10.81	23.53	19.28
SOX8	0	0	0	0.56	0	0.02	0.04	0	0.02	0.01	0.02	0.02	0	0.05	0	0	1.06	0.53	0.37	0.76	0.13	0.17	0	0.86	0.01	0	0.02	0.14	0.01	0	0.07	0.02	0
IBTK	21.13	6.27	20.7	18.73	11.65	13.89	24.73	17.96	17.46	8.82	15.23	15.67	19.27	13.5	10.15	12.68	16.35	11.75	15.04	21.38	9.27	10.6	11.49	17.9	10.31	9.78	10.61	15.04	17.26	32.89	11.08	8.36	8.71
